date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:57:49	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2013%20Feb%202019%2021:25:37%20GMT	http://duruthemes.com/demo/html/betty/onepage/fonts/themify.eot	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/fonts/themify.eot	(from http://duruthemes.com/demo/html/betty/onepage/css/themify-icons.css)
22:57:51	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2013%20Feb%202019%2021:25:37%20GMT	http://duruthemes.com/demo/html/betty/onepage/fonts/themify.eot?	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/fonts/themifyd41d.eot	(from http://duruthemes.com/demo/html/betty/onepage/css/themify-icons.css)
22:57:51	17292/17292	---M--	200	added ('OK')	font/woff	date:Fri,%2013%20Jul%202018%2006:37:27%20GMT	http://duruthemes.com/demo/html/betty/onepage/fonts/Flaticon.woff	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/fonts/Flaticon.woff	(from http://duruthemes.com/demo/html/betty/onepage/css/flaticon.css)
22:57:51	28848/28848	---M--	200	added ('OK')	font/ttf	date:Fri,%2013%20Jul%202018%2006:37:27%20GMT	http://duruthemes.com/demo/html/betty/onepage/fonts/Flaticon.ttf	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/fonts/Flaticon.ttf	(from http://duruthemes.com/demo/html/betty/onepage/css/flaticon.css)
22:57:55	0/0	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Sat,%2023%20May%202020%2017:27:53%20GMT	http://ledthanhdat.vn/kunka/assets/css/owl.video.play.png	D:/Websites/charmingchaya/ledthanhdat.vn/kunka/assets/css/owl.video.play.41.delayed	(from http://duruthemes.com/demo/html/betty/onepage/css/owl.carousel.min.css)
22:57:57	24713/24713	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2023%20May%202020%2017:27:57%20GMT	https://ledthanhdat.vn/kunka/assets/css/owl.video.play.png	D:/Websites/charmingchaya/ledthanhdat.vn/kunka/assets/css/owl.video.play.42.delayed	(from http://duruthemes.com/demo/html/betty/onepage/css/owl.carousel.min.css)
22:57:57	5103/5103	---M--	200	added ('OK')	image/gif	date:Wed,%2013%20Feb%202019%2021:25:47%20GMT	http://duruthemes.com/demo/html/betty/onepage/images/loader.gif	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/images/loader.gif	(from http://duruthemes.com/demo/html/betty/onepage/css/style.css)
22:58:03	47104/47104	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Feb%202020%2012:22:39%20GMT	http://duruthemes.com/demo/html/betty/onepage/images/team/1.jpg	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/images/team/1.jpg	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
22:58:04	30896/30896	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Feb%202020%2012:24:57%20GMT	http://duruthemes.com/demo/html/betty/onepage/images/services/g2.jpeg	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/images/services/g2.jpg	(from http://duruthemes.com/demo/html/betty/onepage/services-page.html)
22:58:04	34786/34786	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Feb%202020%2012:24:55%20GMT	http://duruthemes.com/demo/html/betty/onepage/images/services/g1.jpeg	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/images/services/g1.jpg	(from http://duruthemes.com/demo/html/betty/onepage/services-page.html)
